m	u	d	attr1	attr2	attr3	attr4	attr5	attr6	attr7	match
1	1	1	0	0	.18478261	.020000001	0	0	0	0
1	1	2	0	0	.36697248	0	0	0	0	0
1	1	3	0	0	.074285716	.024000002	.3699801	0	0	0
1	1	4	0	0	.67002392	.080000006	.62330425	0	0	0
1	1	5	0	0	.90039283	.07	.27066186	0	0	0
1	1	6	0	0	.63003588	.2	.63252479	0	0	0
1	1	7	0	0	.2863248	.080000006	0	0	0	0
1	1	8	0	0	.67763162	.080000006	.47530866	0	.18898223	0
1	1	9	0	0	.19154471	.070000008	.65532768	0	0	0
1	1	10	0	0	.85714287	.040000003	0	0	0	0
1	1	11	0	0	.85353535	.2	.68387365	0	.70195597	1
1	1	12	0	0	.85057694	.060000002	.60190481	0	.12362757	0
1	1	13	0	0	.27717391	.2	.54430103	0	0	0
1	1	14	0	0	.49166664	.030000001	.33530864	0	0	0
1	1	15	0	0	.37864077	.040000003	0	0	0	0
1	1	16	0	0	.26595744	0	0	0	0	0
1	1	17	0	0	.4657889	.010000001	.36828008	0	0	0
1	1	18	0	0	.69977903	.035555556	.63754588	0	0	0
1	1	19	0	0	.61586207	.060000002	.34474617	0	.047699686	0
1	1	20	0	0	.76860082	.089999996	.63746166	0	0	0
1	1	21	0	0	.42410967	.2	.66690671	0	0	0
1	1	22	0	0	.34401709	.011200001	.20092592	0	0	0
1	1	23	0	0	.41741744	.060000002	.54507738	0	0	0
1	1	24	0	0	.59531385	.2	.57180405	0	.0086419098	0
1	1	25	0	0	.94117647	.040000003	.36507934	0	.13867505	0
1	1	26	0	0	.47360125	.040000003	.34923112	0	.053571429	0
1	1	27	0	0	.47407407	.080000006	.65897328	0	.01339179	0
1	1	28	0	0	.67522538	.080000006	.69831723	0	.0034843418	0
1	1	29	0	0	.34999999	.040000003	0	0	0	0
1	1	30	0	0	.65037066	.030000001	.51437038	0	0	0
1	1	31	0	0	.58970815	.030000001	.5679189	0	0	0
1	1	32	0	0	.53312039	.060000002	.59291363	0	0	0
1	1	33	0	0	.63838804	.040000003	.66732019	0	0	0
1	1	34	0	0	.60852975	.040000003	.62495351	0	0	0
1	2	1	0	.034578994	.15460144	.1	0	0	0	0
1	2	2	0	0	.30703363	0	0	.17289497	0	0
1	2	3	.0015228724	.13831598	.062152382	.12	.39111486	.050715856	.017903095	0
1	2	4	.02058354	.034578994	.56058669	.40000001	.65890992	.1671318	.034642491	0
1	2	5	.0025690733	.034578994	.75332862	.34999999	.28612316	0	.060911383	0
1	2	6	.034728922	0	.52713001	1	.66865712	.17289497	.038462643	0
1	2	7	0	0	.23955841	.40000001	0	.17289497	0	0
1	2	8	.00037143231	0	.56695175	.40000001	.50246018	.17289497	0	0
1	2	9	.0040857554	.034578994	.16025907	.35000002	.69276261	.1671318	.041885383	0
1	2	10	.000061905383	0	.71714282	.2	0	.17289497	0	0
1	2	11	.026743125	0	.71412456	1	.72293925	.17289497	.0088553708	0
1	2	12	.0052619576	.034578994	.71164936	.30000001	.63628799	0	.40993291	0
1	2	13	.038443241	0	.23190217	1	.57539368	.17289497	.0011478196	0
1	2	14	.0028476478	.034578994	.41136107	.15000001	.3544628	0	.031889595	0
1	2	15	0	0	.31679609	.2	0	.17289497	0	0
1	2	16	0	0	.22251773	0	0	.17289497	.025364822	0
1	2	17	.0019912901	.17289497	.38971004	.050000001	.38931772	.033426359	.02775361	0
1	2	18	.1510859	.069157988	.58548176	.17777778	.67396504	.11334226	.092882916	0
1	2	19	.0048286202	.034578994	.51527125	.30000001	.36443943	0	.00040739251	0
1	2	20	.022038316	.034578994	.64306265	.44999999	.67387605	.1671318	.57030129	1
1	2	21	.082086541	0	.3548384	1	.70500314	.17289497	.067737989	0
1	2	22	.00054476742	.13831598	.28782761	.056000002	.21240361	0	.0096648019	0
1	2	23	.068219736	.034578994	.34923926	.30000001	.57621437	.1671318	.11686038	0
1	2	24	.085057996	0	.49807924	1	.60446781	.17289497	.041901167	0
1	2	25	.0011762023	0	.78745097	.2	.38593411	.17289497	.020726878	0
1	2	26	.0034976541	.034578994	.39624637	.2	.36918062	0	.066809602	0
1	2	27	.025628829	.034578994	.39664197	.40000001	.69661647	0	.01639946	0
1	2	28	.051279467	.034578994	.56493855	.40000001	.73820794	0	.068232074	0
1	2	29	0	0	.29283333	.2	0	.17289497	0	0
1	2	30	.014052522	.034578994	.54414344	.15000001	.54375327	.1671318	.048374075	0
1	2	31	.022966897	.034578994	.49338913	.15000001	.60036069	.1671318	.072820894	0
