Market,DownStream,Upstream,Distance1,Distance2,Distance3,Match
1,1,1,93.7371394183,108.5112106769,84.3896111188,0
1,2,1,109.1534879088,92.0609370078,101.4561007933,0
1,3,1,111.9875880021,83.7959711302,102.9334152055,0
1,4,1,92.9550025546,105.7965989501,92.2372529877,0
1,5,1,102.4550699416,94.308175723,98.8160705883,0
1,6,1,87.4040210875,83.6291837693,94.6603156673,0
1,7,1,123.3607661461,90.8339581721,80.9331494959,0
1,8,1,101.7404570054,82.4151210048,94.5830235678,0
1,9,1,102.6097963137,96.8091330321,77.9896970237,0
1,10,1,93.6471391994,112.2717805537,81.3930538473,0
1,11,1,99.1083844793,106.6345386893,86.1513195107,0
1,12,1,102.3877350808,99.2501060363,81.297165405,0
1,13,1,124.1866158168,106.090866,101.3254995239,0
1,14,1,82.2736140736,92.8799038669,80.3869411363,0
1,15,1,109.420030324,91.6787375733,98.1268515855,0
1,16,1,114.9490417269,85.1791942166,102.3574459303,0
1,17,1,99.6069418111,101.4278918941,70.7717723421,0
1,18,1,91.4561512099,119.1708654436,95.478349487,0
1,19,1,96.2900933151,88.7429416224,100.1414537919,0
1,20,1,107.9760423555,89.5390771195,107.0046467421,0
1,21,1,106.9474354091,106.8740024521,82.6403500387,0
1,22,1,99.2914618976,89.715868875,89.1533554865,0
1,23,1,98.7496565058,97.3627280026,101.5926631051,0
1,24,1,119.3433938851,88.2467140264,104.5542610721,0
1,25,1,95.4524794365,91.9797483603,106.6848857101,0
1,26,1,88.7420525624,101.6347945158,84.5736338602,0
1,27,1,100.2701940956,118.3121269807,91.8952233054,0
1,28,1,96.3860045455,86.277669121,87.0809781261,0
1,29,1,135.3658734181,109.7644824073,93.4540056913,0
1,30,1,121.9726841053,88.0443954308,90.0891200298,1
1,31,1,89.0403610316,90.5316234158,84.2699060071,0
1,32,1,108.0774756902,91.9460706278,85.1440735528,0
1,33,1,104.5580505493,84.2806583074,95.9285635662,0
1,34,1,120.6500072367,97.9234493014,96.7377686748,0
1,35,1,100.1439734522,89.7026592737,107.9586081068,0
1,36,1,111.0631285406,79.962763026,99.1856579098,0
1,37,1,108.6100875495,98.3812211874,105.0534559387,0
1,38,1,93.9046218246,83.6373506308,100.3584736344,0
1,39,1,97.111059287,99.4945802717,77.6856211995,0
1,40,1,110.1542769998,105.2258092215,85.7593525402,0
1,41,1,96.5124283854,103.1384893485,95.5686387873,0
1,42,1,112.5918330994,96.6838941756,101.7976022599,0
1,43,1,119.1168554033,88.7895442734,94.9562982065,0
1,44,1,92.8065419148,104.4159593689,63.5352073453,0
1,45,1,107.3649868386,109.1806630447,117.7542717902,0
1,46,1,104.9615817189,105.6388759362,73.7711688949,0
1,47,1,121.0937679058,86.977466233,99.7530709204,0
1,48,1,114.3141877809,83.0012671349,90.5387566212,0
1,49,1,110.1679395634,87.0502645852,95.2010453875,0
1,50,1,97.2553450574,100.4359977942,80.1000123517,0
1,1,2,86.9040241953,105.0973729177,100.7753149739,0
1,2,2,101.1965738778,89.164636239,121.1555590542,0
1,3,2,103.8240778171,81.1596919058,122.9197196331,0
1,4,2,86.1789024202,102.4681647538,110.146712361,0
1,5,2,94.9864475532,91.3411752695,118.0029212838,0
1,6,2,81.0325684195,80.9981517907,113.0402546051,0
1,7,2,114.368190372,87.9762590063,96.6477214926,0
1,8,2,94.3239274434,79.8222842808,112.9479549066,0
1,9,2,95.1298949046,93.7634507314,93.1327467692,0
1,10,2,86.820584683,108.7396326645,97.1969242352,0
1,11,2,91.8837239562,103.2797423291,102.8790895468,0
1,12,2,94.9240211722,96.1276290361,97.0824173919,0
1,13,2,115.1338384407,102.7531739587,120.9995992875,0
1,14,2,76.27615044,89.9578378341,95.9954573247,0
1,15,2,101.4436862671,88.7944610631,117.1798784806,0
1,16,2,106.5696517459,82.499397837,122.2319159527,0
1,17,2,92.3459381723,98.2369002442,84.5133370622,0
1,18,2,84.789312186,115.4216675708,114.0171238518,0
1,19,2,89.2708765294,85.9510272839,119.5856505799,0
1,20,2,100.1049600576,86.7221158075,127.7814512491,0
1,21,2,99.1513350215,103.5116723963,98.6864045738,0
1,22,2,92.05345566,86.893345572,106.4640227751,0
1,23,2,91.5511460187,94.2996292211,121.3186373029,0
1,24,2,110.6436707382,85.4704113514,124.855280783,0
1,25,2,88.4943218231,89.0860018425,127.3996030775,1
1,26,2,82.2730619996,98.4372935663,100.9950689161,0
1,27,2,92.9608416454,114.589945614,109.7382716951,0
1,28,2,89.3597961608,83.5633139609,103.9892574755,0
1,29,2,125.4981665938,106.3112158523,111.5997186651,0
1,30,2,113.0812947402,85.2744578387,107.5814822034,0
1,31,2,82.5496248069,87.6834359107,100.6323670426,0
1,32,2,100.1989992509,89.0533836348,101.6762693498,0
1,33,2,96.936128104,81.6291304891,114.5547547881,0
1,34,2,111.8550364682,94.8427098399,115.5210810765,0
1,35,2,92.843822053,86.880551554,128.9206407267,0
1,36,2,102.9670082723,77.4470791805,118.4442703817,0
1,37,2,100.6927855366,95.2860799058,125.4514029744,0
1,38,2,87.05929771,81.0060617171,119.8448085816,0
1,39,2,90.0319969042,96.3644119429,92.76962936,0
1,40,2,102.1244088844,101.9153324649,102.4110154036,0
1,41,2,89.4770041373,99.8936811193,114.1249443828,0
1,42,2,104.3842755239,93.642151976,121.5633689423,0
1,43,2,110.4336461331,85.9961637833,113.393707278,0
1,44,2,86.0412640507,101.1309610491,75.8716677003,0
1,45,2,99.5384483872,105.7457638508,140.6183020854,0
1,46,2,97.3102432385,102.3154038151,88.0951183779,0
1,47,2,112.2664485101,84.2410949717,119.1218564506,0
1,48,2,105.9810764701,80.3899898481,108.1184235226,0
1,49,2,102.1370754941,84.3116030374,113.6859763611,0
1,50,2,90.1657647379,97.276211819,95.6528163495,0
1,1,3,86.0636166335,111.5801253775,75.4348560378,0
1,2,3,100.2179498531,94.6646049715,90.6903854163,0
1,3,3,102.8200444492,86.1658892801,92.0109389599,0
1,4,3,85.3455071669,108.7887389858,82.4497684988,0
1,5,3,94.0678787121,96.9754001052,88.3304942425,0
1,6,3,80.2489409191,85.9943848381,84.6157150173,0
1,7,3,113.2621898972,93.4029247131,72.3451666617,0
1,8,3,93.4117655197,84.7459859434,84.5466245414,0
1,9,3,94.2099388523,99.5470895037,69.714049981,0
1,10,3,85.9809840251,115.4470517138,72.7562696172,0
1,11,3,90.995160082,109.6503773416,77.0096259314,0
1,12,3,94.006056027,102.0570981208,72.6705560945,0
1,13,3,114.0204337469,109.0913284981,90.573642516,0
1,14,3,75.5385199999,95.5067338561,71.8569175938,0
1,15,3,100.4626725359,94.2715961702,87.7144096846,0
1,16,3,105.539067236,87.58823269,91.4960869684,0
1,17,3,91.4529044439,104.2964761311,63.2620341223,1
1,18,3,83.9693550001,122.5412565632,85.3469455871,0
1,19,3,88.4075802623,91.252770021,89.5152383102,0
1,20,3,99.136892512,92.0714218269,95.6501637507,0
1,21,3,98.1924895309,109.89661362,73.8712126461,0
1,22,3,91.1632503911,92.2532136078,79.6931096998,0
1,23,3,90.6657983479,100.1163412504,90.8124568206,0
1,24,3,109.5736883247,90.7425081132,93.4597935403,0
1,25,3,87.6385352479,94.5811201461,95.364333219,0
1,26,3,81.4774382747,104.5092303739,75.5993517479,0
1,27,3,92.0618614774,121.658231254,82.1440322891,0
1,28,3,88.4956399941,88.7177746681,77.8406365604,0
1,29,3,124.2845334028,112.8688421463,83.5374090722,0
1,30,3,111.9877392221,90.5344675418,80.5295783441,0
1,31,3,81.7513265744,93.0920393234,75.3278530816,0
1,32,3,99.2300222969,94.5464899398,76.1092609123,0
1,33,3,95.9987048278,86.6642843829,85.7493865251,0
1,34,3,110.7733395118,100.6929208723,86.4727252164,0
1,35,3,91.9459735259,92.2396304126,96.5028983143,0
1,36,3,101.9712632171,82.2242703617,88.6608638937,0
1,37,3,99.7190334098,101.1636394655,93.9060178136,0
1,38,3,86.2173885718,86.0027826749,89.7092297312,0
1,39,3,89.1613402032,102.3084865779,69.4422402675,0
1,40,3,101.1368122079,108.2018061787,76.6592513817,0
1,41,3,88.611714508,106.0554527128,85.4276541043,0
1,42,3,103.37482475,99.4183086411,90.9956494604,0
1,43,3,109.3656947678,91.3006906884,84.880290241,0
1,44,3,85.2091998327,107.3690521479,56.7933559106,0
1,45,3,98.575859307,112.2685112011,105.2591239912,0
1,46,3,96.3692020725,108.6265552487,65.9431585422,0
1,47,3,111.1807729831,89.4373634462,89.1680675435,0
1,48,3,104.9561837923,85.3487094618,80.9315030727,0
1,49,3,101.1493563248,89.5122206818,85.0990667956,0
1,50,3,89.2938144317,103.2765292764,71.6004354122,0
1,1,4,83.1124766889,96.0221217364,95.5661654858,0
1,2,4,96.7814547749,81.4651909733,114.892939894,0
1,3,4,99.294322987,74.151480669,116.5659097267,0
1,4,4,82.4189913505,93.6199480248,104.4531485109,0
1,5,4,90.8422708975,83.4537839318,111.903264268,0
1,6,4,77.4971874567,74.0038896859,107.1971214473,1
1,7,4,109.3784050194,80.3794311665,91.6519303202,0
1,8,4,90.2086559677,72.9295593762,107.1095927875,0
1,9,4,90.9794597649,85.6668937635,88.3186472024,0
1,10,4,83.0326775705,99.3498691301,92.1727443727,0
1,11,4,87.8749164508,94.3614451581,97.5611944175,0
1,12,4,90.7825681255,87.8269231789,92.0641564716,0
1,13,4,110.1106485242,93.8803464326,114.7450418013,0
1,14,4,72.948287885,82.1898989085,91.0333821626,0
1,15,4,97.0177858642,81.1269807514,111.1227651472,0
1,16,4,101.920109897,75.3755018072,115.9136591198,0
1,17,4,88.31696466,89.7540569511,80.144781066,0
1,18,4,81.0900277379,105.4549044074,108.1234956105,0
1,19,4,85.3760653002,78.5290799961,113.404181133,0
1,20,4,95.7374671228,79.233584343,121.1763348916,0
1,21,4,94.8254479232,94.5733478587,93.5852323869,0
1,22,4,88.037242907,79.3900282658,100.9608198341,0
1,23,4,87.5568486015,86.156772766,115.0475885092,0
1,24,4,105.8163829599,78.0899656747,118.4014203098,0
1,25,4,84.6333910049,81.3933467265,120.8142247303,0
1,26,4,78.6835593736,89.9371461324,95.7745601865,0
1,27,4,88.9050404257,104.6950023778,104.0658204408,0
1,28,4,85.4611054449,76.347547832,98.6139769568,0
1,29,4,120.0227899929,97.1311482592,105.83104786,0
1,30,4,108.1476555323,77.9109329214,102.02051697,0
1,31,4,78.9480559844,80.1118936044,95.4306066373,0
1,32,4,95.8274034673,81.3635451299,96.4205488733,0
1,33,4,92.70688857,74.5803828151,108.6333360118,0
1,34,4,106.9748978495,86.6529578926,109.5497121901,0
1,35,4,88.793126297,79.3783390226,122.2566388347,0
1,36,4,98.4746466461,70.7594553389,112.3217997092,0
1,37,4,96.2996462839,87.0580425608,118.9667285106,0
1,38,4,83.2609757543,74.0111165831,113.6499430687,0
1,39,4,86.1039786505,88.0432596721,87.9742995968,0
1,40,4,97.6688091417,93.1148532935,97.117315368,0
1,41,4,85.5731997387,91.267773331,108.2257428197,0
1,42,4,99.8300797518,85.5560692629,115.2796697917,0
1,43,4,105.6155215468,78.5703189187,107.5323038939,0
1,44,4,82.2873580242,92.3982130437,71.9498058925,0
1,45,4,95.1956718672,96.6145235386,133.3496395512,0
1,46,4,93.0646813844,93.4803781284,83.5414174947,0
1,47,4,107.3683603394,76.9668018526,112.9643608604,0
1,48,4,101.3572136521,73.4482430653,102.5297034011,0
1,49,4,97.6809231181,77.0312214844,107.809465375,0
1,50,4,86.2319103092,88.8763248217,90.7084525492,0
1,1,5,87.2279554725,98.033779628,102.6417547868,0
1,2,5,101.5737800627,83.1718820081,123.3994573643,0
1,3,5,104.2110779179,75.7049498964,125.1962916147,0
1,4,5,86.500130835,95.5812805162,112.186717984,0
1,5,5,95.3405057405,85.202135874,120.188430209,0
1,6,5,81.3346140799,75.5542668906,115.1338509556,0
1,7,5,114.7944932311,82.0633755962,98.4377149573,0
1,8,5,94.6755161134,74.4574294232,115.0398417925,0
1,9,5,95.4844877862,87.4616102285,94.8576400776,0
1,10,5,87.1442049428,101.4312431369,98.9970893761,0
1,11,5,92.2262168652,96.3383119715,104.7844929552,0
1,12,5,95.2778466676,89.6668921351,98.880461774,0
1,13,5,115.5629952223,95.8471342556,123.2406090974,0
1,14,5,76.5604667425,83.9117725326,97.7733703329,0
1,15,5,101.8218135536,82.8265863017,119.3501439918,0
1,16,5,106.9668858639,76.9546142065,124.4957492574,1
1,17,5,92.6901539664,91.6343992483,86.0785919766,0
1,18,5,85.1053609587,107.6641785498,116.1288126057,0
1,19,5,89.6036301541,80.1742596759,121.8004729235,0
1,20,5,100.4780972957,80.8935233481,130.148066407,0
1,21,5,99.5209176603,96.5546540214,100.5141560875,0
1,22,5,92.3965812372,81.0532447621,108.4358220277,0
1,23,5,91.8923992568,87.9617521677,123.5655559532,0
1,24,5,111.0560905992,79.7259459349,127.1677009124,0
1,25,5,88.8241808711,83.0985326285,129.7591461003,0
1,26,5,82.5797315503,91.8213241373,102.8655787486,0
1,27,5,93.3073494676,106.8883566167,111.7707126688,0
1,28,5,89.6928812298,77.9470245393,105.9152220861,0
1,29,5,125.9659559945,99.1660401922,113.6666351324,0
1,30,5,113.5028007472,79.5431624557,109.5739777025,0
1,31,5,82.8573252344,81.7902331376,102.4961593449,0
1,32,5,100.5724870163,83.0681066902,103.5593955617,0
1,33,5,97.2974536476,76.1428375176,116.6764008989,0
1,34,5,112.2719716466,88.4683323441,117.6606243268,0
1,35,5,93.1898936893,81.0413106298,131.3083545891,0
1,36,5,103.3508136807,72.2418618319,120.6379534468,0
1,37,5,101.0681138707,88.8819035126,127.7748637658,0
1,38,5,87.383807763,75.561645191,122.0644307396,0
1,39,5,90.3675875746,89.8877608653,94.4877974422,0
1,40,5,102.5050735373,95.0656040795,104.3077497028,0
1,41,5,89.8105260944,93.1798278987,116.2386300596,0
1,42,5,104.7733637394,87.3484639611,123.8148202192,0
1,43,5,110.8452831357,80.2163625516,115.4938498561,0
1,44,5,86.361979424,94.3339502579,77.2768719539,0
1,45,5,99.9094739757,98.6385922136,143.222666036,0
1,46,5,97.6729632813,95.4387866385,89.7267107604,0
1,47,5,112.6849172104,78.5792518957,121.3280889543,0
1,48,5,106.3761166973,74.9869795056,110.1208636064,0
1,49,5,102.5177873612,78.6450211151,115.7915319974,0
1,50,5,90.5018540226,90.7382786816,97.4243833716,0
1,1,6,86.9227097011,143.352203183,106.1856797043,0
1,2,6,101.2183324693,121.6200433562,127.6600861179,0
1,3,6,103.8464013564,110.7013460124,129.518959893,0
1,4,6,86.1974320153,139.7659785947,116.0602030594,0
1,5,6,95.0068708861,124.5888298888,124.3381914198,0
1,6,6,81.0499914852,110.4810062383,119.1090920659,0
1,7,6,114.3927810339,119.9991037476,101.8364864572,0
1,8,6,94.3442083257,108.8771298185,119.0118370365,0
1,9,6,95.1503490806,127.8927994795,98.1328018769,0
1,10,6,86.8392522482,148.3202242169,102.4151744676,0
1,11,6,91.9034801627,140.8729656701,108.402400466,0
1,12,6,94.9444310826,131.1175248869,102.2945200495,0
1,13,6,115.158593727,140.1547294866,127.4957532767,0
1,14,6,76.2925508134,122.7019657018,101.1492039215,0
1,15,6,101.4654979911,121.115126577,123.4709615878,0
1,16,6,106.5925656197,112.5286970824,128.7942298207,0
1,17,6,92.365793761,133.9945585025,89.0506384659,0
1,18,6,84.8075430009,157.4344808246,120.1384068834,0
1,19,6,89.2900709395,117.2366995,126.005893338,0
1,20,6,100.1264839378,118.2884597451,134.641705243,0
1,21,6,99.1726538598,141.1893169279,103.9846211343,0
